0.680352,257,1000,258,1000,p0-258,61,55,0,4988,90.6909,0.901639,p0-257,74,40,0,8082,202.05,0.540541,p1-257,65,30,0,6451,215.033,0.461538,p1-258,0,0,0,0,0,1
1.39536,257,1000,258,1000,p0-258,68,65,0,5718,87.9692,0.955882,p0-257,75,51,0,21798,427.412,0.68,p1-257,57,32,0,17271,539.719,0.561404,p1-258,0,0,0,0,0,1
2.17349,257,1000,258,1000,p0-258,90,87,0,10377,119.276,0.966667,p0-257,66,61,0,40685,666.967,0.924242,p1-257,44,29,0,27009,931.345,0.659091,p1-258,0,0,0,0,0,1
2.98036,257,1000,258,1000,p0-258,90,90,0,11005,122.278,1,p0-257,71,55,0,44771,814.018,0.774648,p1-257,39,39,0,49606,1271.95,1,p1-258,0,0,0,0,0,1
3.76036,257,1000,258,1000,p0-258,82,75,2,9472,126.293,0.914634,p0-257,74,58,0,53566,923.552,0.783784,p1-257,44,32,0,49841,1557.53,0.727273,p1-258,0,0,0,0,0,1
4.51444,257,1000,258,1000,p0-258,74,66,2,16568,251.03,0.891892,p0-257,77,68,1,63971,940.75,0.883117,p1-257,49,18,0,28583,1587.94,0.367347,p1-258,0,0,0,0,0,1
5.25036,257,1000,258,1000,p0-258,73,74,15,21945,296.554,1,p0-257,74,48,18,38886,810.125,0.648649,p1-257,53,34,1,53422,1571.24,0.641509,p1-258,0,0,0,0,0,1
6.00536,257,1000,258,1000,p0-258,73,73,9,10418,142.712,1,p0-257,78,40,19,32721,818.025,0.512821,p1-257,49,42,0,65870,1568.33,0.857143,p1-258,0,0,0,0,0,1
6.75036,257,1000,258,1000,p0-258,74,48,25,6366,132.625,0.648649,p0-257,75,55,26,35993,654.418,0.733333,p1-257,51,18,0,29694,1649.67,0.352941,p1-258,0,0,0,0,0,1
7.54036,257,1000,258,1000,p0-258,96,61,24,15237,249.787,0.635417,p0-257,62,50,18,38008,760.16,0.806452,p1-257,42,28,0,49122,1754.36,0.666667,p1-258,0,0,0,0,0,1
8.28036,257,1000,258,1000,p0-258,68,68,16,20677,304.074,1,p0-257,80,28,17,17987,642.393,0.35,p1-257,52,41,1,69471,1694.41,0.788462,p1-258,0,0,0,0,0,1
9.05536,257,1000,258,1000,p0-258,86,78,13,20555,263.526,0.906977,p0-257,69,40,6,38482,962.05,0.57971,p1-257,45,41,0,69691,1699.78,0.911111,p1-258,0,0,0,0,0,1
9.83343,257,1000,258,1000,p0-258,78,74,5,22443,303.284,0.948718,p0-257,78,48,3,45807,954.312,0.615385,p1-257,44,39,0,64835,1662.44,0.886364,p1-258,0,0,0,0,0,1
10.5754,257,1000,258,1000,p0-258,68,75,15,23010,306.8,1,p0-257,80,44,18,39910,907.045,0.55,p1-257,52,41,0,70518,1719.95,0.788462,p1-258,0,0,0,0,0,1
11.3092,257,1000,258,1000,p0-258,64,59,18,16133,273.441,0.921875,p0-257,83,60,26,40314,671.9,0.722892,p1-257,53,20,0,33109,1655.45,0.377358,p1-258,0,0,0,0,0,1
12.0604,257,1000,258,1000,p0-258,73,67,9,12434,185.582,0.917808,p0-257,77,38,13,31521,829.5,0.493506,p1-257,50,42,2,70593,1680.79,0.84,p1-258,0,0,0,0,0,1
12.8054,257,1000,258,1000,p0-258,70,52,26,11596,223,0.742857,p0-257,79,37,23,29036,784.757,0.468354,p1-257,51,43,1,65643,1526.58,0.843137,p1-258,0,0,0,0,0,1
13.5263,257,1000,258,1000,p0-258,69,62,24,11391,183.726,0.898551,p0-257,76,43,28,22712,528.186,0.565789,p1-257,55,24,1,36973,1540.54,0.436364,p1-258,0,0,0,0,0,1
14.3204,257,1000,258,1000,p0-258,78,77,17,13533,175.753,0.987179,p0-257,80,27,16,20572,761.926,0.3375,p1-257,42,43,0,74063,1722.4,1,p1-258,0,0,0,0,0,1
15.0904,257,1000,258,1000,p0-258,78,69,21,10029,145.348,0.884615,p0-257,76,39,19,26586,681.692,0.513158,p1-257,46,25,1,37738,1509.52,0.543478,p1-258,0,0,0,0,0,1
15.8704,257,1000,258,1000,p0-258,83,64,28,11907,186.047,0.771084,p0-257,73,39,18,32765,840.128,0.534247,p1-257,44,33,0,56278,1705.39,0.75,p1-258,0,0,0,0,0,1
16.6354,257,1000,258,1000,p0-258,74,57,22,11686,205.018,0.77027,p0-257,79,42,19,38077,906.595,0.531646,p1-257,47,34,0,55851,1642.68,0.723404,p1-258,0,0,0,0,0,1
17.3954,257,1000,258,1000,p0-258,77,52,24,11649,224.019,0.675325,p0-257,75,57,25,40459,709.807,0.76,p1-257,48,23,0,37837,1645.09,0.479167,p1-258,0,0,0,0,0,1
18.1204,257,1000,258,1000,p0-258,65,61,7,11654,191.049,0.938462,p0-257,80,31,11,24407,787.323,0.3875,p1-257,55,40,0,66006,1650.15,0.727273,p1-258,0,0,0,0,0,1
18.8804,257,1000,258,1000,p0-258,79,65,30,7472,114.954,0.822785,p0-257,73,49,24,34409,702.224,0.671233,p1-257,48,20,0,32912,1645.6,0.416667,p1-258,0,0,0,0,0,1
19.6303,257,1000,258,1000,p0-258,74,66,24,7883,119.439,0.891892,p0-257,76,29,23,21059,726.172,0.381579,p1-257,50,42,0,72341,1722.4,0.84,p1-258,0,0,0,0,0,1
20.3954,257,1000,258,1000,p0-258,74,52,31,7029,135.173,0.702703,p0-257,79,35,26,26673,762.086,0.443038,p1-257,47,39,1,64917,1664.54,0.829787,p1-258,0,0,0,0,0,1
