node,city,latitude,longitude
N0,N0,33.749,-84.38798
N1,N1,33.749,-84.38798
N2,N2,40.01499,-105.27055
N3,N3,41.13998,-104.82025
N4,N4,41.85003,-87.65005
N5,N5,32.72541,-97.32085
N6,N6,39.11417,-94.62746
N7,N7,40.71427,-74.00597
N8,N8,47.60621,-122.33207
N9,N9,37.9577,-121.29078
N10,N10,37.9577,-121.29078
C0,C0,37.9577,-121.29078
C1,C1,37.9577,-121.29078
P0,P0,37.9577,-121.29078
P1,P1,37.9577,-121.29078
